Дата ;о_Санкт-Петербург;o_Адмиралтейский;o_Васимлеостровский;o_Всеволожский;o_Выборгский;o_Калининский;o_Кировский;o_Колпинский;o_Красногвардейский;o_Красносельский;o_Кронштадтский;o_Курортный;o_Московский;o_Невский;o_Ленобласть;o_Петроградский;o_Петродворцовый;o_Приморский;o_Пушкинский;o_Фрунзенский;o_Центральный;р_Санкт-Петербург;p_Адмиралтейский;p_Василеостровский;p_Всеволожский;p_Выборгский;p_Калининский;p_Кировский ;p_Колпинский;p_Красногвардейский;p_Красносельский;p_Кронштадтский;p_Курортный;p_Московский;p_Невский;p_ЛЕНОБЛАСТЬ;p_Петроградский;p_Петродворцовый ;p_Приморский;p_Пушкинский;p_Фрунзенский ;p_Центральный
ijul'05;33.1;34.634;36.628;22.706;32.037;30.063;30.996;24.812;30.669;27.494;23.851;33.789;35.968;29.963;18.997;38.383;29.215;32.555;36.61;29.519;41.067;27.996;39.509;35.55;19.536;27.644;26.494;27.007;0.0;26.027;24.263;0.0;0.0;31.121;25.345;17.ноя;53.817;0.0;26.973;0.0;24.132;47.985
avg'05;33.025;34.364;36.719;22.497;32.134;30.132;31.043;24.752;30.434;27.401;23.533;33.734;36.433;29.918;18.977;38.387;27.966;32.492;35.261;29.098;41.524;27.845;39.746;35.352;19.411;27.452;26.221;27.087;0.0;25.229;24.092;0.0;0.0;30.592;24.985;16.52;53.892;0.0;26.721;0.0;24.199;48.975
sen'05;33.091;34.544;36.474;22.756;32.45;30.27;31.175;24.848;30.375;27.324;22.401;34.916;36.393;29.942;19.178;38.967;27.82;32.498;36.158;29.529;41.388;27.868;43.433;36.588;20.184;27.56;26.175;27.58;0.0;25.131;24.201;0.0;0.0;30.418;25.354;18.471;53.399;0.0;27.318;0.0;24.101;50.598
okt'05;33.49;35.001;37.332;22.894;32.753;30.751;31.225;25.028;30.871;27.56;22.698;35.469;37.348;30.374;19.369;39.323;28.408;33.089;36.164;29.83;41.969;28.068;45.718;37.518;19.766;27.781;26.272;27.789;0.0;25.115;24.279;0.0;0.0;30.263;25.425;18.767;54.69;0.0;27.402;0.0;24.362;52.066
noja'05;34.067;35.878;37.748;23.132;33.344;31.23;31.734;25.346;31.365;28.188;22.762;35.802;37.679;30.672;19.35;39.846;28.647;33.799;39.857;30.17;42.435;28.608;45.822;38.559;20.013;28.504;26.683;28.504;0.0;26.015;24.791;0.0;0.0;31.365;26.май;18.138;54.998;0.0;27.65;0.0;24.586;51.957
dek'05;34.57;35.536;38.388;23.301;33.825;31.731;32.013;25.467;31.957;28.488;22.395;35.795;38.587;31.117;19.517;40.63;29.443;34.427;39.053;30.482;42.717;29.043;46.442;36.789;20.125;28.609;26.736;28.819;0.0;26.292;26.139;0.0;0.0;32.549;26.272;18.907;56.167;0.0;28.076;0.0;25.069;53.317
janv'06;34.651;35.367;37.879;23.585;33.814;31.559;31.903;25.435;31.866;28.582;23.163;34.125;38.866;30.755;18.463;41.508;28.405;34.501;33.583;30.мар;43.155;28.918;48.55;36.251;20.54;28.781;26.907;28.829;22.453;26.519;25.958;0.0;28.314;32.105;26.484;18.48;60.544;22.031;28.259;24.77;24.752;57.006
fev'06;36.033;35.818;38.587;24.185;34.527;32.195;32.291;25.953;32.329;29.046;23.117;34.195;39.523;31.25;18.626;41.942;28.682;35.213;33.853;30.939;43.638;29.705;49.6;36.34;20.786;28.812;27.18;28.688;21.666;26.429;26.246;0.0;30.319;31.651;26.678;18.738;63.004;22.195;28.502;26.461;25.052;57.183
mar'06;36.776;36.759;39.488;24.197;35.735;33.039;32.869;26.324;33.186;29.996;23.546;34.405;39.952;32.069;18.58;42.929;28.24;36.07;33.919;31.874;44.399;30.649;49.979;36.614;20.854;29.022;27.433;28.958;21.407;26.616;26.637;0.0;28.209;31.491;28.043;18.932;62.919;22.351;29.595;24.767;25.088;60.538
apr'06;38.425;37.856;40.723;24.863;37.831;34.823;34.486;27.078;34.746;31.669;23.681;34.939;41.443;33.765;18.397;43.884;29.207;37.928;35.103;33.427;45.562;32.22;50.509;38.272;21.283;30.863;29.098;31.307;22.325;27.821;27.278;0.0;29.36;34.891;29.744;18.321;68.587;22.703;31.221;25.49;25.647;60.062
maj'06;40.458;39.808;42.513;25.069;40.436;37.065;36.711;28.318;36.936;33.796;25.283;35.73;44.104;35.712;18.343;45.271;30.003;40.118;35.735;35.508;47.219;35.89;51.186;41.991;22.442;34.809;32.198;35.61;23.436;31.874;28.123;0.0;29.426;38.881;31.762;20.371;78.693;22.883;34.739;24.227;27.583;59.021
ijun'06;44.852;44.22;46.511;27.387;44.542;41.9;41.962;31.957;41.61;37.416;28.386;38.423;48.633;41.232;19.26;50.029;33.136;44.835;38.73;40.068;51.937;39.961;49.693;45.213;24.95;38.443;35.937;40.694;25.91;35.822;32.856;0.0;31.225;42.92;36.914;19.405;80.601;25.176;38.217;25.38;31.227;66.007
ijul'06;52.055;51.485;53.759;31.548;51.81;49.52;49.248;38.387;48.98;44.395;34.981;42.118;56.904;48.113;20.627;58.023;38.251;52.574;44.2;47.255;59.574;45.396;60.951;50.839;27.531;43.571;41.693;43.504;28.063;41.199;35.325;0.0;35.214;47.724;42.348;22.031;82.301;25.156;43.907;28.769;35.734;79.295
avg'06;60.234;59.692;62.125;38.236;61.015;58.02;57.643;46.029;57.237;51.831;41.659;51.503;65.069;56.617;23.596;67.161;45.29;60.683;51.241;57.169;68.445;52.366;58.344;62.853;34.467;54.062;49.868;46.815;35.553;45.542;39.824;0.0;42.454;53.33;48.549;25.872;93.3;30.291;49.762;33.401;41.723;80.792
sen'06;66.254;67.535;69.987;43.527;67.074;63.729;63.584;50.476;63.806;58.011;47.674;57.166;71.628;62.389;28.002;72.875;52.54;67.309;57.211;62.126;75.208;56.988;75.834;69.431;37.68;60.013;55.972;56.349;34.206;50.117;45.55;0.0;46.696;59.374;52.288;28.399;98.173;46.587;55.838;35.594;46.308;90.732
okt'06;68.855;70.443;74.715;46.663;69.135;65.937;66.026;51.317;65.75;60.179;49.825;60.349;74.101;64.333;31.571;76.67;54.867;69.8;60.37;64.035;79.141;58.205;81.776;73.484;38.403;60.239;56.813;57.692;40.808;53.762;47.1;0.0;47.925;59.993;54.142;28.629;100.125;47.476;57.977;35.442;47.107;94.39
noja'06;68.653;71.582;75.625;47.704;68.716;65.33;65.572;51.362;65.418;59.719;50.191;61.154;73.364;63.514;32.555;76.81;55.659;69.412;61.421;63.373;80.045;58.454;87.731;74.534;39.294;60.501;56.501;58.029;38.595;54.169;48.563;0.0;49.455;58.341;54.352;31.969;101.011;46.508;57.06;35.513;48.182;96.221
dek'06;68.115;72.014;75.434;47.473;67.637;64.143;64.732;50.3;64.668;59.514;48.715;61.98;72.602;63.034;32.593;77.293;55.741;68.517;59.897;62.364;80.026;57.219;82.597;77.768;39.068;56.775;55.371;56.073;33.396;53.345;49.44;0.0;48.784;58.227;53.532;31.573;102.097;50.153;55.004;35.638;47.52;97.258
